title,price,image,celebrity
Urmi Daga in Garnet Saree Set,56800.0,https://ridhimehra.com/cdn/shop/files/IMG_8113.jpg?v=1753694932&width=1080,Urmi Daga
Shivangi sipani in Shanno Lehenga Set,341100.0,https://ridhimehra.com/cdn/shop/files/007K1009.jpg?v=1749621283&width=1080,Shivangi sipani
Sushmita in Shanno Lehenga Set,341100.0,https://ridhimehra.com/cdn/shop/files/image4.jpg?v=1748258806&width=1080,Sushmita in
Harjess in Starlet Lehenga Set,262800.0,https://ridhimehra.com/cdn/shop/files/IMG_0910.jpg?v=1747137241&width=1080,Harjess in
Manya in Shanno Lehenga Set,341100.0,https://ridhimehra.com/cdn/shop/files/T9A8759.jpg?v=1747136874&width=1080,Manya in
Serena Alam Shah in Swarn Lehenga Set,309200.0,https://ridhimehra.com/cdn/shop/files/SxV-1764.jpg?v=1747136390&width=1080,Serena Alam
Niharika Dubey in Flamboyance Saree Set,,https://ridhimehra.com/cdn/shop/files/Niharika_Ravi_Guestbook-52_1.jpg?v=1747134852&width=1080,Niharika Dubey
Vinny Dhadly Gill in Milan Pant Suit Set,237500.0,https://ridhimehra.com/cdn/shop/files/IMG_5429.jpg?v=1769144419&width=1080,Vinny Dhadly
Ridhi mehra in Quartz Saree Set,56800.0,https://ridhimehra.com/cdn/shop/files/P1011551_1.jpg?v=1745324874&width=1080,Ridhi mehra
RIDHI MEHRA IN ICON PANT SUIT,99900.0,https://ridhimehra.com/cdn/shop/files/RMIC_43.jpg?v=1741612369&width=1080,RIDHI MEHRA
RIDHI MEHRA IN SASHAY CAPE SHARARA SET,124900.0,https://ridhimehra.com/cdn/shop/files/RMIC_12...jpg?v=1741612115&width=1080,RIDHI MEHRA
RIDHI MEHRA IN SHOWCASE KURTA SET,132800.0,https://ridhimehra.com/cdn/shop/files/RMIC-46.jpg?v=1741611942&width=1080,RIDHI MEHRA
RIDHI MEHRA IN CORYMBIA,26200.0,https://ridhimehra.com/cdn/shop/files/RMPC-24_1.jpg?v=1741611795&width=1080,RIDHI MEHRA
RIDHI MEHRA IN AWESPRING PEPLUM SHARARA SET,58000.0,https://ridhimehra.com/cdn/shop/files/RMIC_42.jpg?v=1741611599&width=1080,RIDHI MEHRA
Navdeep Kaur in Sagan Saree Set,296300.0,https://ridhimehra.com/cdn/shop/files/WhatsApp_Image_2025-03-03_at_8.57.46_PM_1.jpg?v=1741349763&width=1080,Navdeep Kaur
Priyanka Nagar in Zaral Lehenga Set,121700.0,https://ridhimehra.com/cdn/shop/files/IMG_5070.jpg?v=1740987730&width=1080,Priyanka Nagar
Neha nagar in Sunehri Lehenga Set,124900.0,https://ridhimehra.com/cdn/shop/files/WhatsApp_Image_2025-02-16_at_4.47.09_PM_1.jpg?v=1740987198&width=1080,Neha nagar
KRITI SANON IN CHIC SAREE GOWN SET,84300.0,https://ridhimehra.com/cdn/shop/files/New_Project_67.jpg?v=1740218742&width=1080,KRITI SANON
NICOLE MEHTA IN RAZZLE LEHENGA SET,95200.0,https://ridhimehra.com/cdn/shop/files/IMG-20250203-WA0105_ba5b6eed-2ef2-4772-b60a-5cd99b1bfc1c.jpg?v=1738843123&width=1080,NICOLE MEHTA
PAVITRA SAGAR IN NAGHMA SAREE SET,89700.0,https://ridhimehra.com/cdn/shop/files/20240816_122401_690.jpg?v=1740052253&width=1080,PAVITRA SAGAR
PAVITRA SAGAR IN MAHA,237500.0,https://ridhimehra.com/cdn/shop/files/20240816_122755_162.jpg?v=1740052255&width=1080,PAVITRA SAGAR
PRAGYA JAISWAL IN ZEEANA,251600.0,https://ridhimehra.com/cdn/shop/files/IMG_6722.jpg?v=1755858297&width=1080,PRAGYA JAISWAL
Isha Sutaria in Eshrat,157200.0,https://ridhimehra.com/cdn/shop/files/471536908_1373747043591895_694181394521396489_n_1.jpg?v=1740053564&width=1080,Isha Sutaria
Natasha Luthra in Regal Saree Set,87400.0,https://ridhimehra.com/cdn/shop/files/WhatsApp_Image_2024-12-14_at_15.58.39_0835dbe7.jpg?v=1740052258&width=1080,Natasha Luthra
Payal Shah in Cadenza Jacket Set,60000.0,https://ridhimehra.com/cdn/shop/files/IMG_2251.jpg?v=1736497613&width=1080,Payal Shah
Smridhi Sibal In Maha,237500.0,https://ridhimehra.com/cdn/shop/files/IMG-20241218-WA0002.jpg?v=1740052259&width=1080,Smridhi Sibal
Masoom Minawala in Moti Lehenga Set,258900.0,https://ridhimehra.com/cdn/shop/files/WhatsApp_Image_2024-12-30_at_5.48.51_PM.jpg?v=1736496940&width=1080,Masoom Minawala
KARMAA DHINGRA IN MEETHA LEHENGA SET,284800.0,https://ridhimehra.com/cdn/shop/files/Layer_14.jpg?v=1738240737&width=1080,KARMAA DHINGRA
Neha Nagar In Miraaz Saree Set,131200.0,https://ridhimehra.com/cdn/shop/files/FestiveDiaries-7.jpg?v=1734416193&width=1080,Neha Nagar
Bahaar Dhawan in Zeeb Pant Suit Set,105300.0,https://ridhimehra.com/cdn/shop/files/image00003_a6144082-942b-4f46-8aeb-aad5dba853ae.jpg?v=1731677754&width=1080,Bahaar Dhawan
Ami Desai in Amal,288200.0,https://ridhimehra.com/cdn/shop/files/4Q3A3355.jpg?v=1755858304&width=1080,Ami Desai
Rhea Khaneja in Allure Saree Set,95200.0,https://ridhimehra.com/cdn/shop/files/Ridhi_M_1.jpg?v=1731677220&width=1080,Rhea Khaneja
Ridhi Mehra in Ratan Saree Set,167900.0,https://ridhimehra.com/cdn/shop/files/IMG_3899.jpg?v=1740052262&width=1080,Ridhi Mehra
Arushi's Mehra in Sunehri Lehenga Set,124900.0,https://ridhimehra.com/cdn/shop/files/Layer_1_ff42f993-bac9-435f-93d8-53b0a096508d.jpg?v=1753093384&width=1080,Arushi's Mehra
Sanjana Batra in Shanno Lehenga Set,341100.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-10-25at1.09.13AM_1_02dab96f-6858-44dd-b921-2320e6986d3c.jpg?v=1757440525&width=1080,Sanjana Batra
Aarushi Mehra in Chashm Saree Set,83400.0,https://ridhimehra.com/cdn/shop/files/edited2.jpg?v=1740052272&width=1080,Aarushi Mehra
Summiya in Pulse Jacket Set,62200.0,https://ridhimehra.com/cdn/shop/files/Photo12-10-24_21710AM.jpg?v=1730871918&width=1080,Summiya in
Hanna Khan in Fanon Anarkali set,84300.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-10-28at10.22.22AM_1.jpg?v=1730871724&width=1080,Hanna Khan
Nushrat in O.G. Saree Skirt Set,176100.0,https://ridhimehra.com/cdn/shop/files/IMG-0859.jpg?v=1730871261&width=1080,Nushrat in
Navneet in Jive Jacket Set,52800.0,https://ridhimehra.com/cdn/shop/files/image1_2.jpg?v=1729754559&width=1080,Navneet in
Bahaar Dhawan in Cadenza Jacket Set,60000.0,https://ridhimehra.com/cdn/shop/files/image00017.jpg?v=1729247495&width=1080,Bahaar Dhawan
Khushnaz Turner in Glamour Saree Set,95200.0,https://ridhimehra.com/cdn/shop/files/DSC00168.jpg?v=1755858308&width=1080,Khushnaz Turner
SNEHA REDDY IN AMAL,288200.0,https://ridhimehra.com/cdn/shop/files/IMG_4181.jpg?v=1740052329&width=1080,SNEHA REDDY
Sharnamli in Glide Top Pants Set,31600.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-10-14at3.26.55PM_1.jpg?v=1729246974&width=1080,Sharnamli in
Krithi Shetty in Razzle Lehenga Set,95200.0,https://ridhimehra.com/cdn/shop/files/462210085_548148474364044_614801806232944957_n.jpg?v=1729246839&width=1080,Krithi Shetty
divya bopanna in MOTI LEHENGA SET,258900.0,https://ridhimehra.com/cdn/shop/files/01_d24313b7-4e9d-4347-bd3c-a21ab81484e3.jpg?v=1755858312&width=1080,divya bopanna
divya bopanna in SHANNO LEHENGA SET,341100.0,https://ridhimehra.com/cdn/shop/files/02_924ef6f0-802d-43ad-a159-eaa19d9338b3.jpg?v=1755858314&width=1080,divya bopanna
Natasha Shah in Gravitas Saree Set,89700.0,https://ridhimehra.com/cdn/shop/files/rm2_91b209be-5533-4b56-91d9-7521849dbdc3.jpg?v=1755858318&width=1080,Natasha Shah
Kiran in DEMI LEHENGA SET,95200.0,https://ridhimehra.com/cdn/shop/files/03_d8e2e06f-ea10-4418-b433-248303962cf8.jpg?v=1755858322&width=1080,Kiran in
ISHA IN LADY SAREE SKIRT SET,262800.0,https://ridhimehra.com/cdn/shop/files/03_1dcbc721-2f17-485b-8033-a37b3d1cc9e5.jpg?v=1726230607&width=1080,ISHA IN
House Of Misu in Shiraz,,https://ridhimehra.com/cdn/shop/files/01_38e2472b-ba66-4aeb-9824-10fa45e50d8a.jpg?v=1755858325&width=1080,House Of
Priyanka Mohan in Glamour Saree Set,95200.0,https://ridhimehra.com/cdn/shop/files/PM8314.jpg?v=1755858328&width=1080,Priyanka Mohan
Madhuri Dixit in Naghma Saree set,89700.0,https://ridhimehra.com/cdn/shop/files/IMG_6408_1.jpg?v=1740052280&width=1080,Madhuri Dixit
PAVAN VIRDI IN JHUMKA LEHENGA SET,317400.0,https://ridhimehra.com/cdn/shop/files/IMG_1238.jpg?v=1721293930&width=1080,PAVAN VIRDI
Pakeeza Saree Set,170800.0,https://ridhimehra.com/cdn/shop/files/IMG_0752.jpg?v=1740052285&width=1080,Pakeeza Saree
MUSKAN CHANANA IN STARLET LEHENGA SET,262800.0,https://ridhimehra.com/cdn/shop/files/muskaan_1.jpg?v=1750742596&width=1080,MUSKAN CHANANA
PAVITRA SAGAR IN BELLE SAREE SET,83400.0,https://ridhimehra.com/cdn/shop/files/Pavitra_Sagar.jpg?v=1740052288&width=1080,PAVITRA SAGAR
"House of Misu, Summiya in SWARN LEHENGA SET",309200.0,https://ridhimehra.com/cdn/shop/files/Summiya_House_of_Misu.jpg?v=1721289440&width=1080,House of
ANTARA MOTIWAL MARWAH IN RATAN SAREE SET,167900.0,https://ridhimehra.com/cdn/shop/files/WhatsApp_Image_2024-07-15_at_1.34.30_PM_1.jpg?v=1740052289&width=1080,ANTARA MOTIWAL
RIDHI MEHRA IN EVEONIC PANT SUIT,231900.0,https://ridhimehra.com/cdn/shop/files/RidhiMehra0167.jpg?v=1750742599&width=1080,RIDHI MEHRA
Summiya in Enchanted,367700.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-01-10at4.38.58PM.jpg?v=1706009084&width=1080,Summiya in
RIDHI MEHRA IN CHICANCHOR SHIRT PANT SET,30500.0,https://ridhimehra.com/cdn/shop/files/DSC03472.jpg?v=1755858454&width=1080,RIDHI MEHRA
Madhuri Dixit in Rukm,95200.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2024-01-03at13.24.44_b16642d2.jpg?v=1704793052&width=1080,Madhuri Dixit
Niki Mehra in Ibaarat,95200.0,https://ridhimehra.com/cdn/shop/files/IMG_6366.jpg?v=1740052328&width=1080,Niki Mehra
Ridhi Mehra in Eve Ivory,78000.0,https://ridhimehra.com/cdn/shop/files/RidhiMehra0389.jpg?v=1701337180&width=1080,Ridhi Mehra
ESHA GUPTA IN MUSE,83400.0,https://ridhimehra.com/cdn/shop/files/IMG_0069.jpg?v=1740052330&width=1080,ESHA GUPTA
Summiyya in icon,99900.0,https://ridhimehra.com/cdn/shop/files/Photo02-11-23_111430AM.jpg?v=1699426793&width=1080,Summiyya in
Vaani Kapoor in  Laiqa,55900.0,https://ridhimehra.com/cdn/shop/files/WhatsAppImage2023-08-31at11.14.38AM_2.jpg?v=1693898615&width=1080,Vaani Kapoor
SHILPA SHETTY IN  HELENOR,68500.0,https://ridhimehra.com/cdn/shop/files/355821690_287468750364483_3697036523027977883_n.jpg?v=1692374709&width=1080,SHILPA SHETTY
Hanna S Khan in Reanna,251600.0,https://ridhimehra.com/cdn/shop/files/1D2A1109copy.jpg?v=1690528420&width=1080,Hanna S
Summiyya in  Maaziya,83400.0,https://ridhimehra.com/cdn/shop/products/Photo30-06-23_93847PM.jpg?v=1740052370&width=1080,Summiyya in
Summiyya in Amal,288200.0,https://ridhimehra.com/cdn/shop/products/Photo30-06-23_93049PM.jpg?v=1740052373&width=1080,Summiyya in
Madhuri Dixit in  Ibaarat,95200.0,https://ridhimehra.com/cdn/shop/files/1stPost_1.jpg?v=1740052375&width=1080,Madhuri Dixit
Alisha Pekha in  Ozella,104300.0,https://ridhimehra.com/cdn/shop/files/3_502ac391-3535-475a-8a35-c132d496828a.jpg?v=1684308327&width=1080,Alisha Pekha
Genelia D_Souza in finna,209900.0,https://ridhimehra.com/cdn/shop/files/4_8ca95d8d-27e1-4a4e-b5e2-0c2666c5e2c4.jpg?v=1684307485&width=1080,Genelia D_Souza
Navdeep kaur in Charmaine,99900.0,https://ridhimehra.com/cdn/shop/files/13_e7464bef-c5af-4541-ac5a-e732e5a726c0.jpg?v=1684307413&width=1080,Navdeep kaur
Pragya jaiswal in Roos,87400.0,https://ridhimehra.com/cdn/shop/files/1_cd4aad2e-a72a-476e-8306-9b510f198274.jpg?v=1684307354&width=1080,Pragya jaiswal
Mrunal Thakur in  Dilek,55900.0,https://ridhimehra.com/cdn/shop/products/1_7c4628d8-babf-4502-957e-475b0756360e.jpg?v=1678448794&width=1080,Mrunal Thakur
NUPUR SANON IN POMP,62200.0,https://ridhimehra.com/cdn/shop/files/IMG_3397.jpg?v=1740053600&width=1080,NUPUR SANON
Aditi Rao Hydri In Jorunn,55900.0,https://ridhimehra.com/cdn/shop/products/8_2f1c5473-a892-4389-9f3c-f30f61941b4e.jpg?v=1678448911&width=1080,Aditi Rao
Saachi Gilani In Beyza,89700.0,https://ridhimehra.com/cdn/shop/products/1_766ff03e-4f7e-4756-aa03-69b90a93b619.jpg?v=1740052406&width=1080,Saachi Gilani
Sophie Chaudhory In Fulvia,99900.0,https://ridhimehra.com/cdn/shop/products/1_b3886baa-65b6-47b6-bf32-c989e9377b67.jpg?v=1740052408&width=1080,Sophie Chaudhory
Ridhi Mehra In Maha,237500.0,https://ridhimehra.com/cdn/shop/products/RIDHI-MEHRA-CHAMPAGNE_NET_EMBROIDERED_SAREE.jpg?v=1755858730&width=1080,Ridhi Mehra
Diipa khosla In Roos,87400.0,https://ridhimehra.com/cdn/shop/products/Resizing-_1200-1800.jpg?v=1669121411&width=1080,Diipa khosla
Esha Gupta in  Reanna,251600.0,https://ridhimehra.com/cdn/shop/products/4_a071f383-1467-4134-8660-fe18c0a7a97f.jpg?v=1667296920&width=1080,Esha Gupta
Kriti Kharbanda in Beyza,89700.0,https://ridhimehra.com/cdn/shop/products/2_b3cefd57-aad6-42be-b3fc-72b0fdf292f3.jpg?v=1740052420&width=1080,Kriti Kharbanda
Esha Gupta in  Charmaine,99900.0,https://ridhimehra.com/cdn/shop/products/1_ff7021b6-465b-4817-b2ca-546f96a720e5.jpg?v=1667296905&width=1080,Esha Gupta
RIDHI MEHRA IN FAINE,62200.0,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra.jpg?v=1667296667&width=1080,RIDHI MEHRA
Mira Rajput Kapoor in Posie,79200.0,https://ridhimehra.com/cdn/shop/products/1_35ecd44b-9db8-44a5-ad20-ae564ddbda94.jpg?v=1660717434&width=1080,Mira Rajput
Arushi Mehra in Fauve,18800.0,https://ridhimehra.com/cdn/shop/products/RIDHI-MEHRA-Dark_green_chanderi_flared_short_kurta_with_tulip_pants.jpg?v=1696935069&width=1080,Arushi Mehra
Arushi Mehra in Effie,23100.0,https://ridhimehra.com/cdn/shop/products/1_76e2a27a-98d0-4155-8c10-82d9db5dba41.jpg?v=1746708501&width=1080,Arushi Mehra
Hanna S Khan IN ADELINA,95100.0,https://ridhimehra.com/cdn/shop/products/5_9e9e7062-93cc-4d0c-85fc-ab520f54541d.jpg?v=1740052437&width=1080,Hanna S
The Cister Co. In TORI,60200.0,https://ridhimehra.com/cdn/shop/products/2_0a34acd2-7301-49bf-a82c-dfef05d84476.jpg?v=1740052438&width=1080,The Cister
MANUSHI CHHILLAR IN ELM,89700.0,https://ridhimehra.com/cdn/shop/products/1_f2af3a55-5821-44bf-9812-38477fc4eb74.jpg?v=1740052442&width=1080,MANUSHI CHHILLAR
RIDHI MEHRA IN FLORIAN IN RED,66400.0,https://ridhimehra.com/cdn/shop/products/27_a1c58161-7ccc-40d4-8ff3-ac2b5596fdf1.jpg?v=1653299984&width=1080,RIDHI MEHRA
LEILANI,95200.0,https://ridhimehra.com/cdn/shop/products/2_1b90323b-645c-40e6-b352-d1bf901ad9ba.jpg?v=1649916207&width=1080,LEILANI  
SANJANA BATRA IN LEILANI,95200.0,https://ridhimehra.com/cdn/shop/products/2_d68b3683-ef77-42e3-aba9-69eaadd9ec9e.jpg?v=1649914386&width=1080,SANJANA BATRA
SANJANA BATRA IN JESSAMINE,99900.0,https://ridhimehra.com/cdn/shop/products/16_20b26cc7-efe0-42d5-8143-295e624efb38.jpg?v=1740052450&width=1080,SANJANA BATRA
SMRIDHI SIBAL in ERSHEEN,196400.0,https://ridhimehra.com/cdn/shop/products/xa.jpg?v=1645704561&width=1080,SMRIDHI SIBAL
SANJANA BATRA IN BRIJA,95200.0,https://ridhimehra.com/cdn/shop/products/19_86805fe0-8409-4475-84e1-ee996e73651a.jpg?v=1649914095&width=1080,SANJANA BATRA
Athiya Shetty In ZAHIDA,72700.0,https://ridhimehra.com/cdn/shop/products/Ridhi-Mehra1.jpg?v=1644230619&width=1080,Athiya Shetty
Soha Ali Khan In NOAH,,https://ridhimehra.com/cdn/shop/products/rm2c.png?v=1642227671&width=1080,Soha Ali
Sophie Choudry IN TORI,60200.0,https://ridhimehra.com/cdn/shop/products/1_229c9b1b-ccfe-4b93-9702-6f3fc07ae6dc.jpg?v=1740052462&width=1080,Sophie Choudry
natasha luthra IN FLANN,81300.0,https://ridhimehra.com/cdn/shop/products/1_a5136be4-b2a4-4363-8d3a-f47648a7ed30.jpg?v=1740052464&width=1080,natasha luthra
